id;date;tonepr;rate_shock_abs;rate_shock_rel;toneev;OPEN;h;TRADEDATE;CLOSE;spread;year;trans;trust
0;2013-10-14;-3.9663142380360257;0.0;0.0;;240.16;0;2013-10-14;240.15;-0.0041639774318369405;2013.0;3.5;
1;2013-11-08;-4.879730164752349;0.0;0.0;;241.46;0;2013-11-08;241.43;-0.012425190017850696;2013.0;3.5;
2;2013-12-13;-4.583010579059484;0.0;0.0;;242.15;0;2013-12-13;242.13;-0.008259684484723806;2013.0;3.5;
3;2014-02-14;-7.115753204379045;0.0;0.0;-8.935623510196278;245.61;0;2014-02-14;245.65;0.016284655819109872;2014.0;6.2;0.36
4;2014-03-03;-3.6033172251667085;0.0;0.0;;246.05;0;2014-03-03;244.77;-0.5215773203168794;2014.0;6.2;0.36
5;2014-03-14;-8.123946743760223;0.0;0.0;;242.63;0;2014-03-14;241.92;-0.29305562197201596;2014.0;6.2;0.36
6;2014-04-25;-6.852045907510162;0.5;0.07142857142857142;;244.03;0;2014-04-25;243.21;-0.3365900887316364;2014.0;6.2;0.36
7;2014-06-16;-6.204978674133912;0.0;0.0;-8.390548496021786;246.81;0;2014-06-16;247.18;0.14980063126399656;2014.0;6.2;0.36
8;2014-07-25;-5.930010197789854;0.5;0.06666666666666667;;248.45;0;2014-07-25;248.34;-0.044284305963326887;2014.0;6.2;0.36
9;2014-09-12;-5.80073801013683;0.0;0.0;-7.212114985002717;248.51;0;2014-09-12;248.44;-0.028171848460800675;2014.0;6.2;0.36
10;2014-10-31;-7.8620151245781535;1.5;0.1875;;246.48;0;2014-10-31;246.56;0.03245172833929999;2014.0;6.2;0.36
11;2014-12-11;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;242.91;0;2014-12-11;242.49;-0.17305319522700202;2014.0;6.2;0.36
12;2014-12-16;-2.1958892020342677;0.0;0.0;;242.04;0;2014-12-16;234.48;-3.173270535148376;2014.0;6.2;0.36
13;2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;;238.07;0;2015-01-30;237.56;-0.21445249267584288;2015.0;7.2;0.46
14;2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;245.11;0;2015-03-13;246.0;0.36244465569765794;2015.0;7.2;0.46
