date;tonepr;rate_shock_abs;rate_shock_rel;gold_close;gold_spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360257;0.0;0.0;;;;2013.0;3.5;
2013-11-08;-4.879730164752349;0.0;0.0;;;;2013.0;3.5;
2013-12-13;-4.583010579059484;0.0;0.0;;;;2013.0;3.5;
2014-02-14;-7.115753204379045;0.0;0.0;33.19;0.5741064265402773;-8.935623510196278;2014.0;6.2;0.36
2014-03-03;-3.6033172251667085;0.0;0.0;35.2;-0.6512836273329103;;2014.0;6.2;0.36
2014-03-14;-8.123946743760223;0.0;0.0;36.61;1.5969502372143118;;2014.0;6.2;0.36
2014-04-25;-6.852045907510162;0.5;0.07142857142857142;33.81;1.1003828503294066;;2014.0;6.2;0.36
2014-06-16;-6.204978674133912;0.0;0.0;31.97;0.5331673285619232;-8.390548496021786;2014.0;6.2;0.36
2014-07-25;-5.930010197789854;0.5;0.06666666666666667;;;;2014.0;6.2;0.36
2014-09-12;-5.80073801013683;0.0;0.0;33.44;0.11968882338462272;-7.212114985002717;2014.0;6.2;0.36
2014-10-31;-7.8620151245781535;1.5;0.1875;35.72;0.9281461650926026;;2014.0;6.2;0.36
2014-12-11;-6.766651719138959;1.0;0.10526315789473684;48.7;2.0747632194248578;-9.310849410836532;2014.0;6.2;0.36
2014-12-16;-2.1958892020342677;0.0;0.0;61.65;18.96475968860272;;2014.0;6.2;0.36
2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;63.95;2.6140102231444473;;2015.0;7.2;0.46
2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;50.85;-0.6859409550893147;-8.869886752654205;2015.0;7.2;0.46
2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;43.45;-2.1628617726777932;;2015.0;7.2;0.46
2015-06-15;-6.702271100625785;-1.0;-0.08;46.65;-0.9600073729019609;-9.070159373225193;2015.0;7.2;0.46
2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;48.15;2.2048137221762243;;2015.0;7.2;0.46
2015-09-11;-5.917393391912702;0.0;0.0;53.95;-0.8306462157753103;-7.572947587883636;2015.0;7.2;0.46
2015-10-30;-5.713729522307707;0.0;0.0;52.6;-1.4157858004097967;;2015.0;7.2;0.46
